600248,陕西建工,未分组,"7,876,700.00",0.00,"7,876,700.00",建筑工程业务,2022-06-30
000651,格力电器,未细分制造业,"7,634,530.00","5,395,770.00","2,238,760.00",制造业,2022-06-30
600606,绿地控股,房地产行业,"7,548,610.00","5,923,030.00","1,625,580.00",房地产及相关产业,2022-06-30
601601,中国太保,未分组,"7,462,900.00",0.00,"7,462,900.00",其中:境内 其中:香港,2022-06-30
603993,洛阳钼业,商贸业,"7,431,230.00","7,180,880.00","250,350.00",矿产贸易,2022-06-30
000338,潍柴动力,工程机械行业,"7,188,650.00","5,801,210.00","1,387,440.00",交通运输设备制造业,2022-06-30
000898,鞍钢股份,未分组,"7,029,400.00","6,661,300.00","368,100.00",钢压延加工业 其他（补充）,2022-06-30
601600,中国铝业,未分组,"7,017,459.10",0.00,"7,017,459.10",氧化铝板块 原铝板块 总部及其他,2022-06-30
002475,立讯精密,未分组,"6,994,590.00","6,189,290.00","805,300.00",消费性电子,2022-06-30
000709,河钢股份,钢铁行业,"6,849,880.00",0.00,"6,849,880.00",钢铁行业,2022-06-30
600998,九州通,医药业,"6,788,329.00","6,249,983.40","538,345.60",医药工业 医药零售 医药批发及相关服务,2022-06-30
601998,中信银行,金融业,"6,516,200.00",0.00,"6,516,200.00",公司银行业务 金融市场业务,2022-06-30
601939,建设银行,其他,"6,459,200.00",0.00,"6,459,200.00",其他业务,2022-06-30
000878,云南铜业,商贸业,"6,440,550.00","6,130,380.00","310,170.00",工业及非贸易收入 贸易收入,2022-06-30
000959,首钢股份,冶金业,"6,383,100.00","5,898,800.00","484,300.00",冶金,2022-06-30
000877,天山股份,建材行业,"6,356,930.00","5,202,060.00","1,154,870.00",建材行业-水泥及相关制品,2022-06-30
000630,铜陵有色,商贸业,"6,192,374.00","5,831,763.00","360,611.00",非贸易收入 贸易收入,2022-06-30
600346,恒力石化,化工行业,"6,140,110.00",0.00,"6,140,110.00",化工品,2022-06-30
600188,兖矿能源,煤炭行业,"6,128,190.00",0.00,"6,128,190.00",煤炭业务,2022-06-30
000063,中兴通讯,电信行业,"5,981,830.00","3,766,290.00","2,215,540.00",通讯设备类制造行业,2022-06-30
601633,长城汽车,商贸业,"5,877,510.00",0.00,"5,877,510.00",销售零配件收入 销售汽车收入,2022-06-30
